uid,register_date,first_order_date,gender,city,province,country,order_count,total_amount,last_order_date
2001,2009-11-11,2009-11-27,女,广州市,广东省,CN,12,146784,2019-03-23
60311,2017-04-27,2017-05-18,男,香港,香港,HK,54,144562,2019-03-28
36030,2013-07-28,2013-07-28,男,珠海,广东,CN,79,123985,2019-03-11
35766,2013-09-08,2013-09-08,男,长春,吉林,CN,87,105119,2019-03-27
33319,2017-04-28,2017-04-28,男,乌鲁木齐,新疆,CN,53,144682,2019-03-15
55096,2012-01-03,2012-03-05,男,中山,广东,CN,92,134823,2019-03-15
30681,2015-05-26,2015-11-05,男,,,JP,48,150537,2019-03-21
17837,2010-10-22,2010-10-22,男,长春,吉林,CN,90,108184,2019-03-29
3872,2014-01-18,2014-06-26,男,香港,香港,HK,56,104663,2019-03-23
56201,2010-04-05,2010-05-20,男,广州市,广东,CN,146,191328,2019-03-28
4468,2016-09-13,2016-09-15,女,ANDE,ANDE,FR,35,167150,2019-03-17
32602,2016-10-08,2016-10-08,男,Glendale,CA,US,33,174046,2019-01-29
11277,2010-08-26,2010-10-29,男,深圳,广东,CN,142,177357,2019-03-25
45117,2015-11-17,2016-02-06,男,Suwanee,GA,US,31,204438,2019-02-17
19051,2011-11-28,2011-11-29,男,北京,北京,CN,53,102999,2019-03-03
19371,2012-05-30,2012-05-30,男,CRONULLA,NSW,AU,21,159605,2019-03-18
60020,2017-06-07,2017-06-16,女,LOS ANGELES,LA,US,16,195712,2019-03-05
2007,2009-11-25,2010-04-19,男,广州,广东,CN,85,155704,2019-03-29
56093,2009-11-24,2009-11-24,男,广州市,广东省,CN,71,119961,2019-03-10
62762,2013-08-23,2013-08-25,男,沈阳,辽宁,CN,130,167593,2019-03-30
49215,2015-05-07,2015-05-29,男,深圳,广东,CN,89,149557,2019-03-28
20362,2010-07-29,2010-09-14,男,广州,广东,CN,83,103087,2019-03-21
38022,2009-12-02,2010-06-30,男,广州市,广东省,CN,99,162215,2019-03-30
47179,2010-03-16,2010-04-18,男,广州,广东,CN,40,198627,2019-03-05
17903,2013-05-30,2013-05-30,男,长春,吉林,CN,52,99524,2019-03-21
45581,2010-12-29,2010-12-29,男,广州,广东,CN,65,119794,2019-03-22
47255,2010-04-23,2010-06-21,女,武汉,湖北,CN,34,151642,2019-03-29
876,2011-08-14,2011-08-14,男,.,北京,CN,83,149993,2019-03-26
6088,2016-11-13,2017-02-04,男,上海市,上海,CN,65,109089,2019-03-08
50931,2017-12-20,2017-12-25,女,VALINDA,CA,US,18,146238,2019-03-09
38443,2012-06-07,2012-06-07,男,广州,广东,CN,66,102689,2019-03-28
8850,2011-04-17,2011-05-14,男,乌鲁木齐,新疆,CN,52,105167,2019-03-30
59307,2016-03-14,2017-05-27,男,广州,广东,CN,27,182561,2019-02-23
20121,2009-11-30,2010-01-05,男,汕头市,广东省,CN,193,209912,2019-03-31
53451,2017-06-26,2018-05-16,男,乌鲁木齐,新疆,CN,65,184730,2019-03-26
59669,2017-04-11,2017-07-30,男,东莞,广东,CN,14,144708,2019-02-02
49369,2014-10-19,2015-01-28,男,东莞,广东,CN,24,213058,2019-03-21
52814,2015-10-09,2015-10-10,男,大连,辽宁,CN,89,177556,2019-03-15
57377,2013-06-20,2013-11-13,男,.,北京,CN,57,98104,2019-03-24
31219,2014-11-13,2014-11-13,男,上海,上海,CN,101,140188,2019-03-20
29392,2018-03-03,2018-03-03,男,东莞,广东,CN,19,155552,2019-03-16
12578,2011-06-29,2011-06-29,女,广州,广东,CN,95,140931,2019-03-08
19439,2013-04-01,2016-01-05,男,.,北京,CN,85,97855,2019-03-25
29034,2009-11-24,2009-12-24,男,广州,广东,CN,108,169746,2019-03-10
2012,2009-11-26,2012-02-02,男,深圳市,广东省,CN,64,97250,2019-03-28
47194,2010-04-02,2010-04-02,男,,北京,CN,113,204853,2019-03-29
26406,2014-08-27,2014-11-12,男,乌鲁木齐,新疆,CN,31,95766,2019-03-31
56437,2010-11-16,2011-02-20,男,广州,广东,CN,79,129119,2019-03-27
59509,2017-05-02,2017-05-02,男,沈阳,辽宁,CN,109,163010,2019-03-15
13061,2014-03-29,2014-11-03,男,广州,广东,CN,19,201613,2019-03-14
12155,2014-06-04,2014-06-04,男,广州,广东,CN,120,172352,2019-03-07
26960,2011-04-15,2011-07-02,男,乌鲁木齐,新疆,CN,45,116917,2019-03-31
1123,2012-05-07,2017-02-22,男,AMSTELVEEN,NOORD HOLLAND,NL,19,136374,2018-11-18
12536,2015-05-27,2015-10-10,男,Escondido,CA,US,22,135717,2018-09-30
43627,2014-12-27,2014-12-27,男,北京,北京,CN,80,105118,2019-03-17
37021,2011-12-25,2013-06-16,男,香港,香港,HK,82,106666,2019-03-26
40792,2015-08-08,2015-12-11,女,广州市天河区,广东,CN,90,179472,2019-03-20
22418,2015-08-06,2015-10-06,男,PARIS,IIE DE FRANCE,FR,17,143287,2018-10-27
27900,2011-09-15,2011-11-19,男,广州,广东,CN,39,97116,2019-03-23
21245,2013-05-05,2016-02-15,男,上海,上海,CN,102,102961,2019-03-21
2006,2009-11-24,2009-12-04,男,广州,广东,CN,90,158149,2019-03-21
11028,2010-01-22,2010-03-08,男,广州,广东,CN,125,176585,2019-03-25
62642,2012-02-07,2012-02-07,男,长春,吉林,CN,77,94142,2019-03-09
29051,2009-12-07,2009-12-07,女,广州,广东,CN,79,157844,2019-03-26
19073,2011-11-09,2012-03-06,男,广州,广东,CN,116,165365,2019-03-19
58686,2016-01-19,2016-01-19,男,北京,北京,CN,58,91515,2019-03-17
781,2011-07-23,2011-07-23,男,湛江,广东,CN,109,144321,2019-03-24
36780,2011-07-10,2011-07-10,男,广州,广东,CN,180,182540,2019-03-23
1359,2015-01-13,2015-02-11,男,广州,广东,CN,103,218087,2019-03-31
29076,2010-01-19,2010-04-11,男,广州,广东,CN,107,155834,2019-03-24
49714,2016-03-29,2016-04-12,女,COVINA,CA,US,14,125796,2018-12-02
55458,2015-02-12,2015-06-11,男,广州,广东,CN,149,155588,2019-03-30
59905,2016-09-12,2016-09-12,男,广州,广东,CN,76,94185,2019-02-12
28087,2012-02-10,2013-05-11,男,番禺,广东,CN,55,94577,2019-03-29
14825,2016-09-20,2016-09-20,男,长沙,湖南,CN,80,92022,2019-03-28
20173,2010-01-23,2010-02-12,女,广州,广东,CN,40,139742,2019-03-16
18700,2011-01-15,2011-02-24,男,广州,广东,CN,142,183472,2019-03-25
47040,2018-03-16,2018-04-28,男,,,US,14,126850,2019-03-09
5040,2016-02-25,2016-05-07,男,广州,广东,CN,24,125340,2019-03-02
19751,2016-05-11,2017-01-09,女,CULVER CITY,CA,US,13,126495,2019-03-14
9980,2011-12-06,2012-03-16,男,广州,广东,CN,85,151736,2019-03-30
38079,2010-03-02,2010-05-20,男,.,北京,CN,68,117537,2019-03-29
38098,2010-03-31,2010-05-05,男,广州,广东,CN,116,161730,2019-03-24
33282,2017-04-09,2017-04-09,男,.,北京,CN,123,89350,2019-03-30
53999,2012-04-03,2012-04-03,男,乌鲁木齐市,新疆,CN,47,91018,2019-03-15
58806,2015-08-08,2016-01-03,男,PARIS,,FR,14,123662,2018-12-28
18869,2011-06-20,2011-06-20,男,深圳,广东,CN,49,90602,2018-12-16
47265,2010-05-27,2010-07-08,男,深圳,广东,CN,86,157799,2019-03-30
29997,2013-02-17,2013-12-17,男,敦化,吉林,CN,60,106278,2019-03-21
56325,2010-07-24,2010-12-03,男,广州,广东,CN,110,166843,2019-03-28
13606,2015-08-10,2015-08-10,男,MEXICO,,MX,15,183480,2018-10-05
2104,2010-03-20,2010-04-11,男,广州,广东,CN,67,119347,2019-03-30
40556,2015-02-13,2015-02-26,男,惠州,广东,CN,51,99034,2019-03-31
11511,2015-05-17,2015-05-17,男,上海,上海,CN,74,96520,2019-01-23
49752,2015-09-18,2015-10-06,男,PARIS,0,FR,12,121632,2019-03-05
58064,2014-11-01,2015-02-04,男,深圳,广东,CN,59,85171,2019-03-26
19497,2014-08-27,2014-09-16,男,广州,广东,CN,120,176951,2019-03-14
21578,2013-09-02,2013-09-02,女,广州,广东,CN,60,88428,2019-03-29
45772,2011-06-05,2011-06-05,男,深圳,广东,CN,57,90553,2019-03-31
51134,2016-12-17,2016-12-18,男,PARIS,PARIS,FR,43,195034,2019-02-04
53729,2013-04-20,2013-04-20,男,长春,吉林,CN,113,151060,2019-03-30
44980,2010-05-01,2010-06-10,男,乌鲁木齐,新疆,CN,42,165589,2019-03-09
11139,2010-04-27,2010-04-27,男,广州,广东,CN,58,94554,2019-03-16
11327,2010-10-12,2010-11-29,男,ROWLAND HEIGHTS,CALIFORNIA,US,16,184227,2019-03-02
20131,2009-11-23,2010-03-23,女,广州市,广东省,CN,122,180074,2019-03-14
47276,2010-05-29,2010-07-17,男,广州,广东,CN,72,91164,2019-03-26
13323,2014-11-13,2014-11-17,男,武汉市,湖北省,CN,113,121394,2019-03-22
56336,2010-08-02,2010-09-05,男,.,北京,CN,77,157206,2019-03-30
19460,2013-12-13,2014-01-15,男,珠海,广东,CN,57,91658,2019-03-22
15014,2017-01-03,2017-01-03,男,CORALGABLES,FL,US,16,115401,2019-03-19
21884,2014-05-08,2014-05-08,男,深圳,广东,CN,77,151637,2019-03-23
11030,2010-01-20,2010-01-20,男,番禺,广东,CN,88,117157,2019-03-29
10164,2012-05-26,2013-01-24,男,深圳,广东,CN,13,137604,2019-02-10
2196,2010-05-20,2010-07-11,男,汕头,广东,CN,124,113615,2019-03-29
38329,2010-11-17,2011-04-11,男,广州,广东,CN,69,147549,2019-03-01
3092,2013-02-25,2014-01-30,男,广州,广东,CN,66,86430,2019-03-31
31122,2015-12-01,2015-12-01,男,广州,广东,CN,26,178921,2018-12-21
44276,2014-08-01,2014-08-13,女,哈尔滨,黑龙江,CN,59,94946,2019-03-28
38451,2012-06-03,2012-06-03,男,广州市,广东,CN,125,189177,2019-03-31
30926,2014-03-14,2014-03-14,男,广州市,,CN,97,171544,2019-03-21
36573,2011-01-25,2011-01-25,女,广州,广东,CN,57,144505,2019-03-29
17463,2016-01-04,2016-03-26,男,和田,新疆,CN,64,262290,2019-03-27
20144,2009-12-24,2010-03-01,女,广州市,广东省,CN,49,88903,2018-12-09
20731,2012-09-16,2013-04-13,女,珠海,广东,CN,58,84353,2019-03-30
2129,2010-04-06,2010-04-27,男,郑州市,河南省,CN,136,145540,2019-03-27
53365,2015-12-17,2016-01-26,女,乌鲁木齐,新疆,CN,68,148879,2019-03-28
3018,2013-02-10,2017-03-10,男,乌鲁木齐,新疆,CN,71,180226,2019-03-28
36912,2011-11-01,2011-12-17,男,广州,广东,CN,116,130636,2019-03-16
1159,2012-05-27,2012-07-27,男,广州,广东,CN,110,172640,2019-03-31
39380,2013-07-21,2014-04-06,男,广州,广东,CN,105,145253,2019-03-20
12218,2014-03-03,2014-03-03,男,深圳,广东,CN,52,83356,2019-03-11
38199,2010-06-16,2010-07-12,男,广州,广东,CN,106,167199,2019-03-29
38134,2010-04-17,2010-04-25,女,深圳,广东,CN,11,112128,2018-10-06
49346,2015-04-28,2015-04-29,男,广州,广东,CN,59,92635,2019-03-19
46325,2012-11-28,2013-07-02,男,广州,广东,CN,59,145433,2019-03-14
27661,2011-01-16,2011-01-17,男,广州市,广东,CN,83,94441,2019-03-06
39773,2017-05-08,2017-05-12,女,Cerritos,California,US,10,122320,2018-05-20
3321,2013-08-31,2013-08-31,男,.,北京,CN,116,136228,2019-03-31
47224,2010-04-19,2010-06-30,男,广州市,,CN,95,138873,2019-03-30
14675,2016-08-19,2016-08-19,男,.,北京,CN,79,151183,2019-03-26
36635,2011-03-28,2011-03-28,男,深圳,广东,CN,76,86061,2019-03-25
20685,2012-07-13,2012-09-27,男,郑州,河南,CN,100,91727,2019-03-31
20116,2009-11-20,2009-11-22,男,广州,广东,CN,107,165304,2019-03-31
27657,2011-02-02,2011-03-02,男,,,US,25,109336,2018-06-16
30225,2013-06-01,2013-06-02,女,广州,广东,CN,114,151625,2019-03-19
39847,2015-03-10,2015-03-10,男,深圳,广东,CN,57,84080,2019-03-23
19134,2012-01-09,2012-09-26,女,广州,广东,CN,76,119514,2019-03-10
30983,2017-10-17,2017-10-17,男,PARIS,,FR,11,111496,2018-12-24
53954,2011-04-11,2011-04-11,男,克拉玛依,新疆,CN,43,94144,2019-03-02
13680,2016-02-22,2016-10-21,男,PARIS,ile de france,FR,20,148827,2019-03-10
20401,2010-09-09,2010-10-02,女,广州,广东,CN,56,82981,2019-03-28
23819,2016-09-27,2016-10-06,男,长春,吉林,CN,84,140535,2019-03-30
3110,2013-03-15,2014-01-29,男,.,北京,CN,111,141864,2019-03-26
23531,2016-05-29,2016-05-29,男,广州,广东,CN,109,126167,2019-03-14
27678,2011-03-02,2011-03-02,男,深圳,广东,CN,60,98083,2019-03-27
4581,2015-07-25,2015-08-06,男,番禺,广东,CN,61,161499,2019-03-29
3339,2013-08-28,2013-10-18,男,广州,广东,CN,43,93447,2019-03-23
36953,2011-12-07,2012-02-27,男,广州,广东,CN,149,157683,2019-03-27
44217,2015-10-20,2017-12-06,男,乌,新疆,CN,43,111807,2019-03-28
13818,2015-04-25,2015-04-25,男,广州,广东,CN,56,114358,2019-01-09
8608,2010-11-15,2010-11-15,男,长春,吉林,CN,94,109142,2019-03-29
2303,2010-08-30,2010-09-24,男,广州,广东,CN,84,139338,2019-03-19
33645,2017-07-20,2017-07-20,女,深圳,广东,CN,16,107047,2019-03-23
27651,2011-01-24,2011-03-08,男,上海市,上海市,CN,128,131315,2019-03-15
9874,2011-10-26,2012-11-27,男,广州市,广东,CN,124,130776,2019-03-30
50023,2016-01-28,2016-02-07,男,广州,广东,CN,111,130622,2019-03-28
40219,2014-07-09,2014-07-09,男,广州,广东,CN,77,134838,2019-03-31
35876,2011-04-02,2011-06-09,男,合肥,安徽,CN,42,77936,2019-03-10
58293,2014-11-02,2015-03-24,男,广州,广东,CN,124,160524,2019-03-31
5737,2016-07-24,2016-07-24,男,北京,北京,CN,19,96503,2019-03-26
39208,2015-08-28,2015-08-29,男,NEYAGAWA,OSAKAFU,JP,53,134627,2019-02-16
13798,2016-05-31,2016-08-19,男,贵阳,贵州,CN,61,83245,2019-03-31
58411,2014-12-12,2015-04-15,,MENAI,SYDNEY,AU,17,105377,2019-03-31
13846,2016-08-27,2016-08-27,男,Ibaraki-shi,Osaka,JP,48,119036,2019-03-28
27945,2011-10-13,2012-05-21,男,深圳,广东,CN,26,94249,2019-03-10
54719,2011-03-11,2011-03-21,男,广州,广东,CN,43,79426,2019-03-01
4234,2014-08-07,2015-01-17,男,广州,广东,CN,87,115134,2019-01-31
13056,2015-05-22,2015-08-22,男,.,北京,CN,114,124499,2019-03-31
38816,2015-02-19,2015-02-24,男,上海,上海,CN,54,75651,2019-03-12
22490,2014-12-09,2014-12-09,男,广州,广东,CN,68,163454,2019-03-12
47762,2012-09-27,2012-11-28,男,.,北京,CN,112,134757,2019-03-26
30223,2013-10-12,2013-10-12,男,.,北京,CN,73,163958,2019-03-19
35584,2012-06-11,2012-06-11,男,乌苏,新疆,CN,49,80641,2019-02-23
4835,2017-08-22,2017-08-30,男,ISEHARA,KANGAWA,JP,40,127004,2019-03-30
38084,2010-03-16,2010-04-15,男,广州,广东,CN,82,135413,2019-03-27
49017,2014-01-17,2014-03-01,男,北京市,北京,CN,154,129582,2019-03-31
29375,2010-11-17,2011-04-04,男,广州,广东,CN,58,145294,2019-03-19
46350,2013-08-12,2013-08-15,男,顺德,广东,CN,52,97731,2019-03-30
58999,2015-11-10,2015-11-10,男,南沙,广东,CN,43,78765,2019-03-24
1294,2014-02-09,2015-07-18,男,广州,广东,CN,105,138593,2019-03-28
728,2011-01-10,2011-01-10,男,洛阳,河南,CN,97,116461,2019-03-28
55509,2015-06-09,2015-06-09,男,广州,广东,CN,17,121870,2018-12-11
49453,2015-02-26,2015-02-26,男,克拉玛依,新疆,CN,32,77106,2019-02-02
31394,2015-05-31,2015-06-19,女,广州市,广东,CN,37,119320,2019-03-27
35877,2011-03-31,2011-12-10,男,长春,吉林,CN,86,159612,2019-03-27
59627,2017-03-17,2017-04-26,女,长春市,吉林省,CN,62,139995,2019-03-19
23026,2015-12-16,2015-12-16,男,北京,北京,CN,67,127081,2019-03-21
9716,2011-06-29,2011-08-25,男,广州,广东,CN,84,129836,2019-03-24
21656,2014-01-15,2014-02-25,男,吉林市,吉林,CN,117,132853,2019-03-24
4004,2014-06-10,2014-06-12,男,.,北京,CN,122,129272,2019-03-30
18838,2011-05-04,2011-05-04,男,广州,广东,CN,87,131029,2019-03-08
35464,2014-01-20,2014-01-20,男,沈阳,辽宁,CN,73,75413,2019-03-30
8434,2010-09-09,2010-09-09,男,大连,辽宁,CN,97,113939,2019-03-24
4446,2015-02-23,2015-02-24,男,佛山,广东,CN,93,150612,2019-03-27
54,2015-02-23,2015-04-03,男,广州,广东,CN,83,134621,2019-03-24
49682,2015-09-15,2015-09-16,男,广州,广州,CN,105,145865,2019-03-21
38902,2012-12-27,2013-11-08,男,汕头,广东,CN,27,164336,2019-02-05
18679,2010-12-21,2010-12-21,女,东莞,广东,CN,24,110964,2019-03-01
18811,2011-04-06,2011-04-06,男,广州,广东,CN,137,122439,2019-03-30
42861,2017-09-02,2017-09-12,男,广州,广东,CN,57,90144,2019-03-10
22286,2014-12-05,2014-12-12,男,广州,广东,CN,50,89115,2019-03-25
23172,2016-05-26,2016-05-26,男,ADACHI-KU,TOKYO-TO,JP,45,139898,2019-03-24
23537,2016-10-16,2016-11-01,男,大连,辽宁,CN,109,122024,2019-03-31
12880,2014-12-15,2014-12-15,男,.,北京,CN,46,80830,2019-03-14
28325,2013-07-22,2013-08-11,男,广州市,广东,CN,77,139876,2019-03-15
857,2011-10-01,2011-11-21,男,佛山,广东,CN,60,154736,2019-03-27
14124,2017-06-12,2017-06-12,男,FUJIEDA-SHI,SHIZUOKA-KEN,JP,66,151383,2019-03-26
55273,2012-04-02,2012-04-05,男,广州,广东,CN,77,144030,2019-03-28
26641,2011-03-04,2011-03-04,男,沈阳,辽宁,CN,77,80208,2019-03-16
62340,2015-10-21,2015-11-24,男,鄯善县,新疆,CN,28,77108,2019-03-19
59295,2016-05-07,2016-05-18,男,MONTREUJL,,FR,34,143761,2018-12-10
20660,2012-06-10,2012-06-10,男,广州,广东,CN,62,141413,2019-03-23
55480,2015-04-30,2015-07-01,男,广州,广东,CN,53,73717,2019-02-27
59920,2016-09-17,2016-09-17,男,贵阳,贵州,CN,37,72741,2019-03-28
1069,2012-02-10,2012-05-10,男,广州市,广东,CN,94,126174,2019-01-27
54078,2012-06-20,2012-06-20,男,深圳,广东,CN,48,74411,2019-03-22
40506,2015-07-28,2015-08-24,男,广州,广东,CN,52,73647,2019-03-27
13936,2016-05-10,2016-05-10,男,KASAI,HYOGO,JP,52,135689,2019-03-31
35484,2010-11-02,2010-11-02,男,,,CN,59,127314,2019-02-28
35960,2013-02-25,2013-03-29,男,乌鲁木齐,新疆,CN,72,149171,2019-03-23
12353,2013-05-19,2013-05-19,男,广州,广东,CN,47,76753,2019-03-19
20117,2009-11-23,2010-08-19,男,深圳市,广东省,CN,107,169750,2019-03-23
26045,2016-07-10,2016-07-30,男,沈阳,辽宁,CN,96,136246,2019-03-09
28722,2017-04-18,2017-05-16,男,,上海,CN,132,151273,2019-03-27
5039,2016-01-19,2016-01-19,男,广州市,广东,CN,168,130985,2019-03-30
23074,2016-12-04,2017-02-11,男,AKAIWA CITY,OKAYAMA,JP,49,125237,2019-03-15
